1,    Área Metropolitana de la Cd. de México,,,
2,Aguascalientes,,,
3,"    Campeche, Camp.",,,
4,"    Colima, Col.",,,
5,"    Cuernavaca, Mor.",,,
6,"    Culiacán, Sin.",,,
7,"    Durango, Dgo.",,,
8,"    La Paz, B. C. S.",,,
9,"    Mérida, Yuc.",,,
10,"    Monterrey, N. L.",,,
11,"    Querétaro, Qro.",,,
12,"    San Luis Potosí, S. L. P.",,,
13,"    Tepic, Nay.",,,
14,"    Tlaxcala, Tlax.",,,
15,"    Villahermosa, Tab.",,,
16,"    Jacona, Mich.","    Morelia, Mich",,
17,"    Cortazar, Gto.","    León, Gto.",,
18,"    Matamoros, Tamps.","    Tampico, Tamps.",,
19,"    Zacatecas, Zac.","    Fresnillo, Zac.",,
20,"    Izúcar de Matamoros, Pue.","    Puebla, Pue.",,
21,"    Tepatitlán, Jal.","    Guadalajara, Jal.",,
22,"    Cancún, Q. Roo.","    Chetumal, Q. R.",,
23,"    Mexicali, B. C.","    Tijuana, B. C.",,
24,"    Tapachula, Chis.","    Tuxtla Gutiérrez, Chis.",,
25,"    Oaxaca, Oax.","    Tehuantepec, Oax.",,
26,"    Iguala, Gro","    Acapulco, Gro.",,
27,"    Toluca, Edo. de Méx.","    Atlacomulco, Méx.",,
28,"    Pachuca, Hgo.","    Tulancingo, Hgo.",,
29,"    Huatabampo, Son","    Esperanza, Son.","    Hermosillo, Son.",
30,"    Cd. Jiménez, Chih.","    Chihuahua, Chih.","    Cd. Juárez, Chih",
31,"Torreón, Coah.","    Monclova, Coah.","    Cd. Acuña, Coah.","    Saltillo, Coah."
32,"    Coatzacoalcos, Ver.","    San Andrés Tuxtla, Ver.","    Córdoba, Ver.","    Veracruz, Ver."
